"fips","SCC","Pollutant","Emissions","type","year"
"01073","10300209","PM25-PRI",0.66,"POINT",1999
"01073","2102002000","PM25-PRI",113.726,"NONPOINT",1999
"01075","2102002000","PM25-PRI",0.085,"NONPOINT",1999
"01075","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"01075","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"01077","2102002000","PM25-PRI",0.307,"NONPOINT",1999
"01077","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"01077","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"01079","2102002000","PM25-PRI",0.024,"NONPOINT",1999
"01079","2103001000","PM25-PRI",0.033,"NONPOINT",1999
"01079","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01081","10200202","PM25-PRI",0.11,"POINT",1999
"01081","10300208","PM25-PRI",0.08,"POINT",1999
"01081","2102002000","PM25-PRI",0.438,"NONPOINT",1999
"01081","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"01081","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"01083","10100202","PM25-PRI",0.566,"POINT",1999
"01083","10200204","PM25-PRI",2.261,"POINT",1999
"01083","10200225","PM25-PRI",8.42,"POINT",1999
"01083","2102002000","PM25-PRI",0.209,"NONPOINT",1999
"01083","2103001000","PM25-PRI",0.108,"NONPOINT",1999
"01083","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01085","2102002000","PM25-PRI",0.085,"NONPOINT",1999
"01085","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"01085","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01087","2102002000","PM25-PRI",0.034,"NONPOINT",1999
"01087","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"01087","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"01089","2102002000","PM25-PRI",1.481,"NONPOINT",1999
"01089","2103001000","PM25-PRI",0.186,"NONPOINT",1999
"01089","2103002000","PM25-PRI",0.09,"NONPOINT",1999
"01091","10200204","PM25-PRI",1.767,"POINT",1999
"01091","2102002000","PM25-PRI",0.856,"NONPOINT",1999
"01091","2103001000","PM25-PRI",0.054,"NONPOINT",1999
"01091","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01093","10100101","PM25-PRI",0.269,"POINT",1999
"01093","2102002000","PM25-PRI",0.066,"NONPOINT",1999
"01093","2103001000","PM25-PRI",0.086,"NONPOINT",1999
"01093","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01095","2102002000","PM25-PRI",0.811,"NONPOINT",1999
"01095","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"01095","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"01097","10100101","PM25-PRI",0.648,"POINT",1999
"01097","10100201","PM25-PRI",3145.28,"POINT",1999
"01097","2102002000","PM25-PRI",2.052,"NONPOINT",1999
"01097","2103001000","PM25-PRI",0.268,"NONPOINT",1999
"01097","2103002000","PM25-PRI",0.164,"NONPOINT",1999
"01099","2102002000","PM25-PRI",0.418,"NONPOINT",1999
"01099","2103001000","PM25-PRI",0.054,"NONPOINT",1999
"01099","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01101","2102002000","PM25-PRI",1.371,"NONPOINT",1999
"01101","2103001000","PM25-PRI",0.186,"NONPOINT",1999
"01101","2103002000","PM25-PRI",0.107,"NONPOINT",1999
"01103","10100101","PM25-PRI",0.11,"POINT",1999
"01103","10200204","PM25-PRI",10.634,"POINT",1999
"01103","2102002000","PM25-PRI",1.339,"NONPOINT",1999
"01103","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"01103","2103002000","PM25-PRI",0.03,"NONPOINT",1999
"01105","2102002000","PM25-PRI",0.197,"NONPOINT",1999
"01105","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"01105","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"01107","2102002000","PM25-PRI",0.034,"NONPOINT",1999
"01107","2103001000","PM25-PRI",0.033,"NONPOINT",1999
"01107","2103002000","PM25-PRI",0.03,"NONPOINT",1999
"01109","2102002000","PM25-PRI",0.111,"NONPOINT",1999
"01109","2103001000","PM25-PRI",0.086,"NONPOINT",1999
"01109","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01111","2102002000","PM25-PRI",0.077,"NONPOINT",1999
"01111","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"01111","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"01113","2102002000","PM25-PRI",0.296,"NONPOINT",1999
